composite,asset_id,product_id,granule_id,sensing_utc,mgrs_tile,cloud_pct,cloud_land_pct,shadow_pct,nodata_pct,platform,baseline,orbit,sun_zenith,sun_azimuth,boa_offset_B2
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250112T110329_20250112T110716_T29SQR,S2B_MSIL2A_20250112T110329_N0511_R094_T29SQR_20250112T133937,L2A_T29SQR_A041018_20250112T110716,2025-01-12 11:12:26,29SQR,0.894635,0.895036,0.0,8.440005,Sentinel-2B,05.11,94.0,56.9853283845078,157.382102965428,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250112T110329_20250112T110716_T29SQS,S2B_MSIL2A_20250112T110329_N0511_R094_T29SQS_20250112T133937,L2A_T29SQS_A041018_20250112T110716,2025-01-12 11:12:11,29SQS,9.244429,9.254964,0.124458,26.625651,Sentinel-2B,05.11,94.0,57.8289900093944,157.567327775521,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250115T111319_20250115T111542_T29SPR,S2B_MSIL2A_20250115T111319_N0511_R137_T29SPR_20250115T133241,L2A_T29SPR_A041061_20250115T111542,2025-01-15 11:22:24,29SPR,1.22842,1.212833,0.0,0.0,Sentinel-2B,05.11,137.0,56.1297546684577,158.391501996836,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250115T111319_20250115T111542_T29SPS,S2B_MSIL2A_20250115T111319_N0511_R137_T29SPS_20250115T133241,L2A_T29SPS_A041061_20250115T111542,2025-01-15 11:22:10,29SPS,0.075444,0.053765,0.0,0.0,Sentinel-2B,05.11,137.0,56.9826388901808,158.562958104181,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250115T111319_20250115T111542_T29SQR,S2B_MSIL2A_20250115T111319_N0511_R137_T29SQR_20250115T133241,L2A_T29SQR_A041061_20250115T111542,2025-01-15 11:22:20,29SQR,0.035227,0.025406,0.027873,34.080002,Sentinel-2B,05.11,137.0,55.794039795201,159.501642323486,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250115T111319_20250115T111542_T29SQS,S2B_MSIL2A_20250115T111319_N0511_R137_T29SQS_20250115T133241,L2A_T29SQS_A041061_20250115T111542,2025-01-15 11:22:06,29SQS,0.0026,0.002573,0.004082,13.351867,Sentinel-2B,05.11,137.0,56.6487674628574,159.67572008373,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250117T110401_20250117T110552_T29SQR,S2A_MSIL2A_20250117T110401_N0511_R094_T29SQR_20250117T164152,L2A_T29SQR_A049998_20250117T110552,2025-01-17 11:12:25,29SQR,0.101383,0.101129,0.261243,8.073394,Sentinel-2A,05.11,94.0,56.2738883473328,156.528052001156,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250120T111401_20250120T111444_T29SPR,S2A_MSIL2A_20250120T111401_N0511_R137_T29SPR_20250120T170453,L2A_T29SPR_A050041_20250120T111444,2025-01-20 11:22:24,29SPR,25.752738,25.271896,0.0,0.0,Sentinel-2A,05.11,137.0,55.2979071626206,157.55170507775,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250120T111401_20250120T111444_T29SQR,S2A_MSIL2A_20250120T111401_N0511_R137_T29SQR_20250120T170453,L2A_T29SQR_A050041_20250120T111444,2025-01-20 11:22:21,29SQR,25.91036,25.98671,0.017871,34.445274,Sentinel-2A,05.11,137.0,54.950284604086,158.676065913972,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250125T111239_20250125T111758_T29SPR,S2B_MSIL2A_20250125T111239_N0511_R137_T29SPR_20250125T133058,L2A_T29SPR_A041204_20250125T111758,2025-01-25 11:22:28,29SPR,18.617825,18.526515,0.0,0.0,Sentinel-2B,05.11,137.0,54.2983852690539,156.718581781496,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250125T111239_20250125T111758_T29SPS,S2B_MSIL2A_20250125T111239_N0511_R137_T29SPS_20250125T133058,L2A_T29SPS_A041204_20250125T111758,2025-01-25 11:22:13,29SPS,38.768893,38.941038,0.0,0.0,Sentinel-2B,05.11,137.0,55.1423671235806,156.921323707849,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250125T111239_20250125T111758_T29SQR,S2B_MSIL2A_20250125T111239_N0511_R137_T29SQR_20250125T133058,L2A_T29SQR_A041204_20250125T111758,2025-01-25 11:22:24,29SQR,7.094917,6.928827,0.120603,34.739745,Sentinel-2B,05.11,137.0,53.9390553043755,157.860809863856,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250125T111239_20250125T111758_T29SQS,S2B_MSIL2A_20250125T111239_N0511_R137_T29SQS_20250125T133058,L2A_T29SQS_A041204_20250125T111758,2025-01-25 11:22:09,29SQS,35.338458,35.338491,0.0,14.036052,Sentinel-2B,05.11,137.0,54.785299437932,158.065989040917,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250127T110351_20250127T110350_T29SQR,S2C_MSIL2A_20250127T110351_N0511_R094_T29SQR_20250127T150210,L2A_T29SQR_A002066_20250127T110350,2025-01-27 11:12:54,29SQR,14.297824,14.317423,0.0,7.287189,Sentinel-2C,05.11,94.0,54.3083229928636,154.919840634568,-1000.0
