composite,asset_id,product_id,granule_id,sensing_utc,mgrs_tile,cloud_pct,cloud_land_pct,shadow_pct,nodata_pct,platform,baseline,orbit,sun_zenith,sun_azimuth,boa_offset_B2
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250102T110349_20250102T111043_T29SQR,S2B_MSIL2A_20250102T110349_N0511_R094_T29SQR_20250102T163547,L2A_T29SQR_A040875_20250102T111043,2025-01-02 11:12:26,29SQR,0.01979,0.019263,0.0,8.296426,Sentinel-2B,05.11,94.0,57.880601931476,159.010763163065,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250102T110349_20250102T111043_T29SQS,S2B_MSIL2A_20250102T110349_N0511_R094_T29SQS_20250102T163547,L2A_T29SQS_A040875_20250102T111043,2025-01-02 11:12:12,29SQS,0.004827,0.003894,0.0,26.454997,Sentinel-2B,05.11,94.0,58.7329096546942,159.17421039827,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250105T111349_20250105T111348_T29SPR,S2B_MSIL2A_20250105T111349_N0511_R137_T29SPR_20250105T132250,L2A_T29SPR_A040918_20250105T111348,2025-01-05 11:22:26,29SPR,0.002953,0.002696,0.0,0.0,Sentinel-2B,05.11,137.0,57.2711308992313,160.034481596763,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250105T111349_20250105T111348_T29SPS,S2B_MSIL2A_20250105T111349_N0511_R137_T29SPS_20250105T132250,L2A_T29SPS_A040918_20250105T111348,2025-01-05 11:22:11,29SPS,0.088109,0.088544,0.0,0.0,Sentinel-2B,05.11,137.0,58.1320802152118,160.182117996802,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250105T111349_20250105T111348_T29SQR,S2B_MSIL2A_20250105T111349_N0511_R137_T29SQR_20250105T132250,L2A_T29SQR_A040918_20250105T111348,2025-01-05 11:22:22,29SQR,3.248675,3.258288,0.358245,34.622231,Sentinel-2B,05.11,137.0,56.9589857975886,161.126820874195,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250105T111349_20250105T111348_T29SQS,S2B_MSIL2A_20250105T111349_N0511_R137_T29SQS_20250105T132250,L2A_T29SQS_A040918_20250105T111348,2025-01-05 11:22:08,29SQS,17.250508,17.250772,0.095034,13.888974,Sentinel-2B,05.11,137.0,57.8214564801883,161.277045490424,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250110T111431_20250110T111428_T29SPR,S2A_MSIL2A_20250110T111431_N0511_R137_T29SPR_20250110T151150,L2A_T29SPR_A049898_20250110T111428,2025-01-10 11:22:22,29SPR,1.843879,1.652113,0.0,0.0,Sentinel-2A,05.11,137.0,56.7930244967511,159.209364424839,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250110T111431_20250110T111428_T29SPS,S2A_MSIL2A_20250110T111431_N0511_R137_T29SPS_20250110T151150,L2A_T29SPS_A049898_20250110T111428,2025-01-10 11:22:07,29SPS,14.019576,13.881487,0.0,0.0,Sentinel-2A,05.11,137.0,57.6500104986981,159.368112238323,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250110T111431_20250110T111428_T29SQR,S2A_MSIL2A_20250110T111431_N0511_R137_T29SQR_20250110T151150,L2A_T29SQR_A049898_20250110T111428,2025-01-10 11:22:18,29SQR,0.013547,0.005481,5.0E-6,33.336583,Sentinel-2A,05.11,137.0,56.4689924080899,160.308726535067,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250110T111431_20250110T111428_T29SQS,S2A_MSIL2A_20250110T111431_N0511_R137_T29SQS_20250110T151150,L2A_T29SQS_A049898_20250110T111428,2025-01-10 11:22:04,29SQS,0.024911,0.024877,0.0,12.601833,Sentinel-2A,05.11,137.0,57.3276485634705,160.470115854227,-1000.0
